irn,title,title_length,number_of_imagesimage_irn,width,height,contentUrl,rights,description,observedDimension,creator,role,createdDate,createdPlace,productionUsedTechnique,isMadeOfSummary,isMadeOf,isTypeOf,influencedBy,depicts,refersTo,creditLine
1440186,"Cinderella, Christchurch Exhibition label No. 7",47,1,340053,4054,5008,https://media.tepapa.govt.nz/collection/340053/full,No Known Copyright Restrictions,,"Overall: 43mm (width), 54mm (height)","Lyttelton Times Co.,Lyttelton Times Co.","printing firm,printer",1906,New Zealand,,,"paper,ink","Visual and Verbal Communication,stickers",,,Christchurch,Purchased 1997
1440215,"Cinderella, 'For King and Empire'",33,1,340064,3670,3600,https://media.tepapa.govt.nz/collection/340064/full,No Known Copyright Restrictions,,"Overall: 26mm (width), 26mm (height)",National Patriotic Fund Board,maker/artist,circa 1939,Wellington (New Zealand),,,"paper,ink","Visual and Verbal Communication,stickers",,,"Postal service,World War, 1939-1945",Purchased 1997
1440217,"Cinderella, 'For King and Empire'",33,1,340065,3574,3728,https://media.tepapa.govt.nz/collection/340065/full,No Known Copyright Restrictions,,"Overall: 26mm (width), 27mm (height)",National Patriotic Fund Board,maker/artist,circa 1939,Wellington (New Zealand),,,"paper,ink","Visual and Verbal Communication,stickers",,,"Postal service,World War, 1939-1945",Purchased 1997
1440218,"Cinderella, 'For King and Empire'",33,1,340066,3654,3752,https://media.tepapa.govt.nz/collection/340066/full,No Known Copyright Restrictions,,"Overall: 27mm (width), 28mm (height)",National Patriotic Fund Board,maker/artist,circa 1939,Wellington (New Zealand),,,"paper,ink","Visual and Verbal Communication,stickers",,,"Postal service,World War, 1939-1945",Purchased 1997
1440219,"Cinderella, 'For King and Empire'",33,1,340067,3422,3832,https://media.tepapa.govt.nz/collection/340067/full,No Known Copyright Restrictions,,"Overall: 25mm (width), 28mm (height)",National Patriotic Fund Board,maker/artist,circa 1939,Wellington (New Zealand),,,"paper,ink","Visual and Verbal Communication,stickers",,,"Postal service,World War, 1939-1945",Purchased 1997
1440220,"Cinderella, 'For King and Empire'",33,1,340068,3526,3592,https://media.tepapa.govt.nz/collection/340068/full,No Known Copyright Restrictions,,"Overall: 26mm (width), 26mm (height)",National Patriotic Fund Board,maker/artist,circa 1939,Wellington (New Zealand),,,"paper,ink","Visual and Verbal Communication,stickers",,,"Postal service,World War, 1939-1945",Purchased 1997
1440221,"Cinderella, 'For King and Empire'",33,1,340078,3810,3996,https://media.tepapa.govt.nz/collection/340078/full,No Known Copyright Restrictions,,"Overall: 26mm (width), 28mm (height)",National Patriotic Fund Board,maker/artist,circa 1939,Wellington (New Zealand),,,"paper,ink","Visual and Verbal Communication,stickers",,,"Postal service,World War, 1939-1945",Purchased 1997
1440222,"Cinderella, 'For King and Empire'",33,1,340079,3882,3780,https://media.tepapa.govt.nz/collection/340079/full,No Known Copyright Restrictions,,"Overall: 25mm (width), 25mm (height)",National Patriotic Fund Board,maker/artist,circa 1939,Wellington (New Zealand),,,"paper,ink","Visual and Verbal Communication,stickers",,,"Postal service,World War, 1939-1945",Purchased 1997
1440223,"Cinderella, 'For King and Empire'",33,1,340080,3930,3828,https://media.tepapa.govt.nz/collection/340080/full,No Known Copyright Restrictions,,"Overall: 26mm (width), 26mm (height)",National Patriotic Fund Board,maker/artist,circa 1939,Wellington (New Zealand),,,"paper,ink","Visual and Verbal Communication,stickers",,,"Postal service,World War, 1939-1945",Purchased 1997
1440224,"Cinderella, 'For King and Empire'",33,1,340081,4188,3558,https://media.tepapa.govt.nz/collection/340081/full,No Known Copyright Restrictions,,"Overall: 29mm (width), 25mm (height)",National Patriotic Fund Board,maker/artist,circa 1939,Wellington (New Zealand),,,"paper,ink","Visual and Verbal Communication,stickers",,,"Postal service,World War, 1939-1945",Purchased 1997
1441784,"Sheet of cinderellas, 'For King and Empire'",43,1,340069,5292,3300,https://media.tepapa.govt.nz/collection/340069/full,No Known Copyright Restrictions,,"Overall: 128mm (width), 79mm (height)",National Patriotic Fund Board,maker/artist,circa 1939,Wellington (New Zealand),,,"paper,ink","Visual and Verbal Communication,stickers",,,"Postal service,World War, 1939-1945",Purchased 1997
1441805,"Sheet of cinderellas, New Zealand tourism",41,1,340073,6468,4308,https://media.tepapa.govt.nz/collection/340073/full,No Known Copyright Restrictions,,"Overall: 222mm (width), 146mm (height)",Department of Tourist and Health Resorts,creating agency,1937,New Zealand,,,"paper,ink","Visual and Verbal Communication,stickers",,"Mountains,New Zealand","Postal service,Tourism",Purchased 1997
1441808,"Sheet of cinderellas, ""Visit New Zealand""",41,1,340074,3158,5961,https://media.tepapa.govt.nz/collection/340074/full,No Known Copyright Restrictions,,"Overall: 115mm (width), 223mm (height)",New Zealand Railways,publisher,1916,New Zealand,,,"paper,ink","Visual and Verbal Communication,stickers",,New Zealand,"Postal service,Tourism",Purchased 1997
1455434,"Philatelic 'cover' [envelope], the Mulready design",50,1,462264,7977,5242,https://media.tepapa.govt.nz/collection/462264/full,No Known Copyright Restrictions,,"Overall: 134mm (width), 86mm (height)","William Mulready,John Thompson","designer,engraver",1840,United Kingdom,,,"paper,ink","Visual and Verbal Communication,envelopes",,,"Postal service,United Kingdom",Purchased 2004
1456582,"Philatelic 'cover' [envelope], the Mulready design",50,1,462262,7977,5146,https://media.tepapa.govt.nz/collection/462262/full,No Known Copyright Restrictions,,"Overall: 134mm (width), 84mm (height)","William Mulready,John Thompson,Unknown","designer,engraver,writer",1840,United Kingdom,,,"paper,ink","Visual and Verbal Communication,envelopes",,,"Postal service,United Kingdom",Purchased 2004
1456584,"Philatelic 'cover' [envelope], the Mulready design",50,1,462260,7809,5098,https://media.tepapa.govt.nz/collection/462260/full,No Known Copyright Restrictions,,"Overall: 130mm (width), 83mm (height)","William Mulready,John Thompson,Unknown","designer,engraver,writer",1840,United Kingdom,,,"paper,ink","Visual and Verbal Communication,envelopes",,,"Postal service,United Kingdom",Purchased 2004
1456586,"Philatelic 'cover' [envelope], Mulready caricature - 'Fores Comic Envelopes No.1'",81,1,462255,9320,5696,https://media.tepapa.govt.nz/collection/462255/full,No Known Copyright Restrictions,,"Overall: 158mm (width), 94mm (height)","John Leech,Fores","designer,publisher",May 1840,United Kingdom,,,"paper,ink","Visual and Verbal Communication,envelopes",,Caricatures,"Postal service,United Kingdom",Purchased 2004
1456589,"Philatelic 'cover' [envelope], Mulready caricature - 'The Pick Pocket'",70,1,462253,8385,5435,https://media.tepapa.govt.nz/collection/462253/full,No Known Copyright Restrictions,,"Overall: 141mm (width), 88mm (height)","George Madeley,J.W. Southgate Library","engraver,publisher",May 1840,United Kingdom,,,"paper,ink","Visual and Verbal Communication,envelopes",,Caricatures,"Postal service,United Kingdom",Purchased 2004
1456591,"Philatelic 'cover' [envelope], Mulready caricature - 'Ladies School'",68,1,462251,7689,5195,https://media.tepapa.govt.nz/collection/462251/full,No Known Copyright Restrictions,,"Overall: 128mm (width), 83mm (height)","J.W. Southgate Library,George Madeley","publisher,artist",1840,London (United Kingdom),,,"paper,ink","Visual and Verbal Communication,envelopes",,Caricatures,"Postal service,United Kingdom",Purchased 2004
1456594,"Philatelic 'cover' [envelope], Mulready caricature - 'Blarney Stone'",68,1,462249,7688,4976,https://media.tepapa.govt.nz/collection/462249/full,No Known Copyright Restrictions,,"Overall: 129mm (width), 81mm (height)","George Madeley,J.W. Southgate Library","artist,publisher",1840,United Kingdom,,,"paper,ink","Visual and Verbal Communication,envelopes",,Caricatures,"Postal service,United Kingdom",Purchased 2004
1456599,"Philatelic 'cover' [envelope], Mulready caricature",50,1,462246,8433,5410,https://media.tepapa.govt.nz/collection/462246/full,No Known Copyright Restrictions,,"Overall: 139mm (width), 88mm (height)",William Spooner,engraver,1840s,United Kingdom,,,"paper,ink","Visual and Verbal Communication,envelopes",,Caricatures,"Postal service,United Kingdom",Purchased 2004
1456603,"Philatelic 'cover' [envelope], Mulready caricature",50,1,462244,8265,5338,https://media.tepapa.govt.nz/collection/462244/full,No Known Copyright Restrictions,,"Overall: 138mm (width), 85mm (height)",William Spooner,publisher,1840s,London (United Kingdom),,,"paper,ink","Visual and Verbal Communication,envelopes",,Caricatures,"Postal service,United Kingdom",Purchased 2004
1456608,"Philatelic 'cover' [envelope], Mulready caricature - 'Ladies School'",68,1,462242,7810,5027,https://media.tepapa.govt.nz/collection/462242/full,No Known Copyright Restrictions,,"Overall: 130mm (width), 80mm (height)","F Deraedemaeker,J.W. Southgate Library,George Madeley","engraver,publisher,artist",1840,United Kingdom,,,"paper,ink","Visual and Verbal Communication,envelopes",,Caricatures,"Postal service,United Kingdom",Purchased 2004
1456614,"Philatelic 'cover' [envelope], Mulready caricature - 'Fores's Civic Envelope No. 8'",83,1,462239,8241,5960,https://media.tepapa.govt.nz/collection/462239/full,No Known Copyright Restrictions,,"Overall: 136mm (width), 96mm (height)","F Deraedemaeker,Fores","engraver,publisher",1840,United Kingdom,,,"paper,ink","Visual and Verbal Communication,envelopes",,Caricatures,"Postal service,United Kingdom",Purchased 2004
1456626,"Philatelic 'cover' [envelope], Mulready caricature",50,2,462237,9081,5762,https://media.tepapa.govt.nz/collection/462237/full,No Known Copyright Restrictions,,"Overall: 139mm (width), 85mm (height)","F Deraedemaeker,Menzies","engraver,publisher",1840,United Kingdom,,,"paper,ink","Visual and Verbal Communication,envelopes",,Caricatures,"Postal service,United Kingdom",Purchased 2004
1527981,Cancellation and date stamp for the Kakapo Bay Post Office,58,4,606127,5050,3794,https://media.tepapa.govt.nz/collection/606127/full,CC BY-NC-ND 4.0,"
<P>A 'hand- canceller', used to cancel stamps on items posted from the Post Office at Kakapo Bay.</P>
<P>This stamp demonstrates that even a tiny and remote settlement such as Kakapo Bay was in the early 20th Century part of the New Zealand Post Offices' mail distribution network.</P>","Overall: 45mm (width), 120mm (height), 38mm (depth)",,,circa 1911,,,,"steel,wood","cancellations,stamps",,,,"Gift of the Guard Family, 2016"
1527981,Cancellation and date stamp for the Kakapo Bay Post Office,58,4,606126,6914,5195,https://media.tepapa.govt.nz/collection/606126/full,CC BY-NC-ND 4.0,"
<P>A 'hand- canceller', used to cancel stamps on items posted from the Post Office at Kakapo Bay.</P>
<P>This stamp demonstrates that even a tiny and remote settlement such as Kakapo Bay was in the early 20th Century part of the New Zealand Post Offices' mail distribution network.</P>","Overall: 45mm (width), 120mm (height), 38mm (depth)",,,circa 1911,,,,"steel,wood","cancellations,stamps",,,,"Gift of the Guard Family, 2016"
1527981,Cancellation and date stamp for the Kakapo Bay Post Office,58,4,606125,5579,4192,https://media.tepapa.govt.nz/collection/606125/full,CC BY-NC-ND 4.0,"
<P>A 'hand- canceller', used to cancel stamps on items posted from the Post Office at Kakapo Bay.</P>
<P>This stamp demonstrates that even a tiny and remote settlement such as Kakapo Bay was in the early 20th Century part of the New Zealand Post Offices' mail distribution network.</P>","Overall: 45mm (width), 120mm (height), 38mm (depth)",,,circa 1911,,,,"steel,wood","cancellations,stamps",,,,"Gift of the Guard Family, 2016"
1527981,Cancellation and date stamp for the Kakapo Bay Post Office,58,4,606124,5579,4192,https://media.tepapa.govt.nz/collection/606124/full,CC BY-NC-ND 4.0,"
<P>A 'hand- canceller', used to cancel stamps on items posted from the Post Office at Kakapo Bay.</P>
<P>This stamp demonstrates that even a tiny and remote settlement such as Kakapo Bay was in the early 20th Century part of the New Zealand Post Offices' mail distribution network.</P>","Overall: 45mm (width), 120mm (height), 38mm (depth)",,,circa 1911,,,,"steel,wood","cancellations,stamps",,,,"Gift of the Guard Family, 2016"
1572245,Letter,6,1,394050,4335,6528,https://media.tepapa.govt.nz/collection/394050/full,No Known Copyright Restrictions,"<P>This item comes from a collection of letters, covers and other historical material which Te Papa has acquired from Gerald Ellott at various times since 2001. The collection includes items from as early as 1818, but most relate to the New Zealand Wars period (1845-1872) and particularly the 1860s.&nbsp; </P>
<P>Gerald is one of New Zealand’s foremost postal historians, and for nearly sixty years has been collecting, researching and exhibiting the early postal history of New Zealand. He was invited to sign the Roll of Distinguished Philatelists in 1988, is a recipient of the Fédération Internationale de Philatélie Research Medal, and was appointed a Member of the New Zealand Order of Merit for services to philately in the 2008 Queen’s Birthday Honours.</P>
<P>The New Zealand Wars collection includes letters written by soldiers serving in British regiments in New Zealand, as well as letters from members of colonial militia and volunteer units. The content and context of the letters provide a wealth of historical, social and military information about this period. The postal markings on the letters and envelopes are also informative, allowing us to track the movement of British troops and the opening up of post offices in their wake.</P>
<P>Many items in the collection are mounted and annotated on archival pages. Gerald wrote the annotations for the purposes of display and storytelling. They reflect his views and the language of the time, and Te Papa has not reviewed them for accuracy. </P>
<P><STRONG>Transcript:</STRONG></P>Weymouth April 7<SUP>th</SUP>
<P></P>father and mother&nbsp;i write these few lines to let you know what is become of me&nbsp;i must tet you that i was miserabe at home you may know the cause of it&nbsp;i am not going to tell you what&nbsp;i have hah to go through nor what&nbsp;i have to undergo&nbsp;i listed in the 65 regt. of foot at liverpool and am nay about five hundred from home&nbsp;i have no more to say at this time my respects to all brothers and sisters send word how they all are
<P></P>here is my kind love to my mother
<P></P>send word by return of post
<P></P>cannot write no more now
<P></P>[page 2]
<P></P>dirrections
<P></P>Direct your letter to
<P></P>George Tatler
<P></P>3 Compy 65<SUP>th</SUP> Regt.<BR>Weymoth Dorset Shire
<P></P>
<P>&nbsp;</P>","Overall: 113mm (width), 181mm (height)",Private George Tatler,writer,7 April 1854,Weymouth (United Kingdom),,,"paper,ink",letters,,,Weymouth,"Gift of Gerald Ellott, 2002"
